runNumber,MBD_NandS_geq_1,Jet_6_GeV_plus_MBD_NS_geq_1,Jet_8_GeV_plus_MBD_NS_geq_1,Jet_10_GeV_plus_MBD_NS_geq_1,Jet_12_GeV_plus_MBD_NS_geq_1,Photon_2_GeV_plus_MBD_NS_geq_1,Photon_3_GeV_plus_MBD_NS_geq_1,Photon_4_GeV_plus_MBD_NS_geq_1,Photon_5_GeV_plus_MBD_NS_geq_1
49031,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49035,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49042,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49045,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49048,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49053,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49054,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49060,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49061,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49062,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49063,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49065,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49066,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49067,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49069,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49070,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49071,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49072,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49073,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49098,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49099,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49100,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49111,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49113,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49116,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49118,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49121,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49125,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49127,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49128,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49133,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49136,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49138,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49140,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49141,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49143,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49157,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49159,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49165,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49217,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49218,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49219,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49224,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49226,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49227,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49228,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49229,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49230,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49233,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49240,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49241,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49244,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49245,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49247,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49248,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49249,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49250,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49251,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49254,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49262,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49263,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49264,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49265,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49266,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49267,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49268,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49270,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49307,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49308,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49309,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49310,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49311,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49312,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49313,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49314,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49316,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49317,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49324,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49329,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49330,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49331,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49337,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49339,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49340,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49341,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49345,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49346,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49347,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49348,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49349,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49351,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49352,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49356,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49358,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49359,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49360,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49361,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49362,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49365,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49366,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49367,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49368,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49369,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49374,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49376,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49377,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49378,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49379,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49380,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49381,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49382,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49383,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49384,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49385,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49390,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49432,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49433,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49434,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49435,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49437,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49438,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49439,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49440,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49445,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49446,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49447,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49448,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49449,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49451,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49452,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49453,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49454,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49455,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49456,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49457,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49464,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49466,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49468,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49652,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49653,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49655,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49656,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49658,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49659,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49660,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49661,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49662,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49664,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49736,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49737,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49742,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49743,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49749,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49751,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49752,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49756,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49758,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49760,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49761,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49762,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49919,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49922,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49923,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49925,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49926,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49928,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49930,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49934,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49959,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49962,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49964,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49966,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49967,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49968,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49969,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49970,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50033,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50034,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50036,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50045,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50046,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50047,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50068,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50070,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50073,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50076,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50253,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50262,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50283,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50330,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50343,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50356,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50376,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50463,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50464,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50465,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50466,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50467,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50468,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50470,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50471,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50483,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50491,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50492,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50496,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50497,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50500,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50501,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50520,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50522,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50526,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50527,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50528,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50529,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50531,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50535,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50536,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50546,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50548,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50549,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50550,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50551,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50554,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50561,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50563,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50564,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50569,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50599,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50600,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50601,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50602,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50603,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50605,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50606,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50607,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50613,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50615,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50650,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50655,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50658,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50660,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50661,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50662,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50663,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50664,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50666,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50668,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50670,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50671,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50673,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50674,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50676,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50677,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50853,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50857,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50874,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50875,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50885,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50886,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50887,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50889,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50897,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50962,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50965,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50969,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50981,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50987,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50992,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
50996,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51012,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51015,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51093,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51095,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51152,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51154,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51160,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51161,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51162,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51163,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51166,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51167,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51171,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51172,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51176,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51177,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51179,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51183,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51188,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51200,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51201,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51202,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51208,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51209,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51210,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51211,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51212,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51213,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51214,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51215,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51220,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51221,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51222,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51225,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51229,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51230,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51234,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51236,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51237,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51274,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51277,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51279,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51281,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51282,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51283,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51285,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51297,ON,OFF,ON,ON,ON,OFF,OFF,ON,ON
51300,ON,OFF,ON,ON,ON,OFF,OFF,ON,ON
51301,ON,OFF,ON,ON,ON,OFF,OFF,ON,ON
51335,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51337,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51370,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51374,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51487,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51489,OFF,OFF,ON,ON,ON,OFF,ON,ON,ON
51490,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51491,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51492,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51493,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51494,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51495,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51502,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51504,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51506,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51508,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51509,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51510,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51511,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51517,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51518,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51520,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51562,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51565,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51570,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51572,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51573,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51574,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51575,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51576,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51605,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
51607,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON
51619,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON
51709,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51710,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51711,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51713,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51715,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51716,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51718,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51721,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51725,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51735,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51736,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51740,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51742,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51777,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51824,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51827,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51830,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51837,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51839,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51841,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51843,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51854,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51858,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51874,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51881,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51886,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51900,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51901,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51902,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51905,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51907,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51908,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51909,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51914,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51915,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51922,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51924,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51927,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51928,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51933,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51934,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51940,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51945,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51946,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51949,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51952,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51953,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51954,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51958,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51977,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51978,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51982,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51985,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51986,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51987,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51990,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51997,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51998,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
51999,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52005,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52015,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52018,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52022,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52026,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52030,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52032,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
