runNumber,MBD_NandS_geq_1,Jet_6_GeV_plus_MBD_NS_geq_1,Jet_8_GeV_plus_MBD_NS_geq_1,Jet_10_GeV_plus_MBD_NS_geq_1,Jet_12_GeV_plus_MBD_NS_geq_1,Photon_2_GeV_plus_MBD_NS_geq_1,Photon_3_GeV_plus_MBD_NS_geq_1,Photon_4_GeV_plus_MBD_NS_geq_1,Photon_5_GeV_plus_MBD_NS_geq_1
47314,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47315,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47316,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47333,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47334,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47352,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47357,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47360,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47363,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47376,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47377,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47378,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47379,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47380,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47381,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47382,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47391,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47393,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47394,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47395,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47396,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47440,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47454,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47457,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47458,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47459,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47461,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47463,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47464,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47474,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47478,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47480,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47481,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47482,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47484,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47485,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47489,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47491,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47492,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47494,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47495,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47497,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47501,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47502,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47503,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47506,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47507,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47509,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47513,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47514,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47516,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47517,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47519,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47521,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47522,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47524,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47525,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47540,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47547,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47549,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47552,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47557,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47568,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47582,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47601,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47628,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47634,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47635,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47636,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47637,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47638,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47650,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47657,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
